TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-04-13 01:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 02:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 03:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 04:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 05:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 06:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 07:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 08:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 09:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 10:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 11:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 12:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 13:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 14:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 15:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 16:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 17:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 18:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 19:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 20:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 21:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 22:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-13 23:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 00:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 01:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 02:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 03:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 04:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 05:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 06:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 07:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 08:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 09:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 10:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 11:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 12:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 13:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 14:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 15:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 16:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 17:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 18:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 19:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 20:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 21:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 22:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-14 23:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 00:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 01:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 02:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 03:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 04:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 05:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 06:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 07:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 08:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 09:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 10:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 11:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 12:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 13:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 14:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 15:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 16:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 17:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 18:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 19:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 20:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 21:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 22:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-15 23:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 00:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 01:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 02:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 03:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 04:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 05:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 06:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 07:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 08:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 09:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 10:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 11:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 12:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 13:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 14:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 15:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 16:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 17:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 18:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 19:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 20:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 21:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 22:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-16 23:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 00:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 01:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 02:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 03:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 04:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 05:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 06:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 07:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 08:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 09:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 10:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 11:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 12:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 13:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 14:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 15:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 16:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 17:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 18:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 19:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 20:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 21:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 22:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-17 23:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 00:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 01:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 02:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 03:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 04:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 05:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 06:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 07:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 08:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 09:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 10:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 11:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 12:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 13:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 14:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 15:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 16:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 17:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 18:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 19:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 20:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 21:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 22:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-18 23:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-19 00:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-19 01:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-19 02:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-19 03:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
2024-04-19 04:00:00,17.0,44.12,0.02,5.0,18.055,0.19,18.119999999999997,April,Summer,Summer Wedding,44.12,Good,Dindigul,Tamil Nadu,10.4256897,77.815664
